<TICKER>,<PER>,date,time,open,high,low,close,volume,<OPENINT>
WIG20,60,20240502,170000,2463.91,2478.19,2462.79,2470.52,5506560,0
WIG20,60,20240506,100000,2493.56,2494.94,2479.34,2483.27,3563382,0
WIG20,60,20240506,110000,2483.54,2500.25,2482.69,2500.05,2621030,0
WIG20,60,20240506,120000,2500.7,2512.72,2500.7,2511.56,2567793,0
WIG20,60,20240506,130000,2510.94,2518.82,2510.94,2516.36,2225089,0
WIG20,60,20240506,140000,2516.43,2519.33,2510.81,2513.67,2368867,0
WIG20,60,20240506,150000,2514.01,2526.63,2514.01,2525.89,2799134,0
WIG20,60,20240506,160000,2526.08,2532.46,2520.83,2528.87,2971374,0
WIG20,60,20240506,170000,2529.01,2553.52,2528.74,2547.53,7836991,0
WIG20,60,20240507,100000,2548.38,2560.36,2542.74,2545.29,6488941,0
WIG20,60,20240507,110000,2544.78,2566.37,2539.5,2553.55,6100922,0
WIG20,60,20240507,120000,2553.68,2557.69,2551.37,2554.34,2571235,0
WIG20,60,20240507,130000,2554.37,2556.59,2546.13,2548.26,1896266,0
WIG20,60,20240507,140000,2548.22,2552.37,2542.97,2552.13,2205951,0
WIG20,60,20240507,150000,2552.16,2556.26,2546.24,2556.26,2267680,0
WIG20,60,20240507,160000,2556.19,2556.19,2536.8,2537.94,3391535,0
WIG20,60,20240507,170000,2537.38,2543.12,2530.24,2536.99,7251624,0
WIG20,60,20240508,100000,2542.8,2545.73,2534.58,2537.48,2570539,0
WIG20,60,20240508,110000,2537.33,2537.5,2528.36,2530.56,2403547,0
WIG20,60,20240508,120000,2530.72,2543.39,2530.72,2541.98,1668852,0
WIG20,60,20240508,130000,2541.02,2546.31,2537.69,2540.56,1663798,0
WIG20,60,20240508,140000,2540.48,2544.21,2536.58,2540.98,1827374,0
WIG20,60,20240508,150000,2540.96,2540.96,2528.54,2533.74,2349865,0
WIG20,60,20240508,160000,2533.49,2547.71,2531.15,2547.71,2870224,0
WIG20,60,20240508,170000,2547.24,2550.72,2541.48,2550.72,7050494,0
WIG20,60,20240509,100000,2563.65,2566.62,2555.29,2566.37,2323085,0
WIG20,60,20240509,110000,2566.52,2572.58,2560.8,2561.89,5532088,0
